"ID в Амедиатеке";"ID на Кинопоиске";"Оценка IMDB";"Оценка Кинопоиск"
;94236;6;6.18
;355828;8.1;8.146
;591842;6;0
;1177463;6.6;6.239
;886;7.3;7.681
;400061;0;6.435
;807630;7.1;6.862
;1008445;7.4;7.426
;682255;8.5;8.164
;445186;8.2;8.087
;321;6.4;6.721
;1208544;8.3;7.922
;394375;8.3;8.059
;1191660;7.1;7.476
;840056;7.1;6.722
;1044254;7.2;7.523
;6695;6.5;7.928
;839427;8.9;7.704
;838704;3.9;6.361
;6580;5.5;6.213
;1272627;7.4;7.325
;663135;6.9;6.011
;693721;7.3;0
;1045040;6;6.748
;277535;7.6;8.227
;252641;7.6;7.673
;1436213;7.5;6.934
;1113116;8.6;8.134
;77044;8.9;9.234
;718222;6.4;6.063
;990815;6.8;7.111
;86234;7.6;7.61
;1011528;8;7.999
;409640;8.1;8.053
;979309;7.4;6.991
;891437;6.1;6.309
;470344;8.4;7.973
;991161;0;0
;258048;8.3;8.374
;1263468;7.2;6.926
;1326418;7.3;0
;373072;7;5.919
;95359;6.1;5.977
;578946;7.8;7.454
;832056;6.8;6.603
;979248;7.1;0
;841800;8;7.283
;1253157;7.6;7.669
;802585;7.3;7.799
;654767;7.6;0
;1350067;7.9;7.914
;1048243;7.4;6.588
;804706;7.7;8.013
;4369133;7;7.664
;4403001;7.7;8.118
;4726128;7.4;6.847
;4517084;6.6;0
;929473;8;7.763
;574096;6.3;6.684
;841240;7.4;0
;252109;7.4;7.018
;252341;8.5;6.094
;1134613;7.7;7.887
;41109;7;7.703
;1161839;7.5;0
;4482361;6.8;0
;277560;7.4;7.418
;1200706;7.8;7.29
;1390900;6.3;6.2
;4133746;0;0
;80996;6.5;6.433
;620315;5.4;5.897
;5124443;7;6.799
;77322;6.2;6.541
;1421593;6.2;0
;1254369;7.3;6.612
;426030;8.3;8.209
;496900;7.4;7.205
;1374360;6.8;0
;1113058;5.7;5.285
;5005200;7.4;7.538
;1332726;6.5;0
;4522247;7.4;7.216
;1378889;7.8;7.927
;309010;7;7.11
;1115393;8;7.359
;4791587;7.3;0
;1227803;9.3;8.787
;1270997;6.1;0
;1111391;7.9;7.954
